RATE,ID,YEAR,CITY,STATE,MKT_TIER
143.71,7187,2018,Greensboro,NC,
135,7193,2018,Philadelphia,PA,
205.67,7195,2018,St. Louis,MO,
310.83,7196,2018,New York,NY,
369,7196,2019,New York,NY,
227.24,7198,2018,Nashville,TN,
208,7198,2019,Nashville,TN,
216.46,7207,2018,Sacramento,CA,
180,7207,2019,Sacramento,CA,
166.86,7208,2018,St. Louis,MO,
121,7208,2019,St. Louis,MO,
176.2,7216,2018,Culver City,CA,
173,7216,2019,Culver City,CA,
145.25,7219,2018,San Rafael,CA,
114,7222,2018,Lexington,KY,
399,7245,2018,New York,NY,
368,7245,2019,New York,NY,
220,7246,2017,Newark,CA,
234.38,7246,2018,Newark,CA,
149,7254,2018,Orlando,FL,
171.91,7261,2018,Salt Lake City,UT,
135.5,7261,2019,Salt Lake City,UT,
141.06,7268,2018,Greenwood Village,CO,
230,7278,2018,Needham,MA,
162.38,7284,2018,Indianapolis,IN,
158,7284,2019,Indianapolis,IN,
90,7287,2017,Philadelphia,PA,
174.5,7287,2018,Philadelphia,PA,
120,7294,2018,Tucson,AZ,
149.33,7304,2018,Windsor Locks,CT,
180.54,7305,2018,Baltimore,MD,
148.63,7306,2018,Nashville,TN,
138,7306,2019,Nashville,TN,
360.95,7310,2018,Chicago,IL,
242.5,7310,2019,Chicago,IL,
129,7313,2018,Beltsville,MD,
158.57,7318,2018,New Orleans,LA,
116,7318,2019,New Orleans,LA,
103.75,7319,2018,Cleveland,OH,
88,7319,2019,Cleveland,OH,
125.8,7321,2018,Norwood,MA,
338.33,7324,2018,Palo Alto,CA,
345,7324,2019,Palo Alto,CA,
139.6,7336,2018,Wakefield,MA,
139,7389,2017,Towson,MD,
137.83,7389,2018,Towson,MD,
110,7394,2018,Brookfield,WI,
102,7394,2019,Brookfield,WI,
172.77,7398,2018,New Orleans,LA,
113.5,7398,2019,New Orleans,LA,
107.33,7405,2018,Portland,OR,
117,7421,2018,Sioux Falls,SD,
155.75,7423,2018,Rosemont,IL,
165.56,7434,2018,Cerritos,CA,
165,7442,2017,Raleigh,NC,
185,7442,2018,Raleigh,NC,
139,7442,2019,Raleigh,NC,
279,7484,2018,Cambridge,MA,
128.86,7494,2018,Portsmouth,NH,
159,7502,2017,Reston,VA,
182.5,7502,2018,Reston,VA,
154,7502,2019,Reston,VA,
107,7506,2017,Saginaw,MI,
113,7506,2018,Saginaw,MI,
338,7514,2017,Milpitas,CA,
315.67,7514,2018,Milpitas,CA,
305,7514,2019,Milpitas,CA,
135,7515,2018,San Diego,CA,
104.33,7516,2018,Langhorne,PA,
149.73,7521,2018,Pittsburgh,PA,
111,7521,2019,Pittsburgh,PA,
267.25,7529,2018,Pleasanton,CA,
212,7529,2019,Pleasanton,CA,
123,7530,2018,Albuquerque,NM,
244,7541,2018,Arlington,VA,
170,7541,2019,Arlington,VA,
160,7543,2017,Irving,TX,
149.8,7543,2018,Irving,TX,
285,7550,2017,Sunnyvale,CA,
321.25,7550,2018,Sunnyvale,CA,
698,7550,2019,Sunnyvale,CA,
157.43,7552,2018,Framingham,MA,
128,7552,2019,Framingham,MA,
119,7554,2017,Madison,WI,
123.25,7554,2018,Madison,WI,
128.4,7556,2018,Ann Arbor,MI,
116,7556,2019,Ann Arbor,MI,
151,7574,2018,St. Louis,MO,
125.4,7578,2018,Cuyahoga Falls,OH,
117,7578,2019,Cuyahoga Falls,OH,
155.5,7579,2018,St. Louis,MO,
139,7581,2018,Syracuse,NY,
107,7582,2018,Virginia Beach,VA,
105,7584,2018,Fort Walton Beach,FL,
105,7588,2018,Bakersfield,CA,
115,7590,2018,Warwick,RI,
188,7591,2018,Arlington,VA,
235,7592,2019,Universal City,CA,
100,7595,2018,Richmond,VA,
100.75,7601,2018,Schiller Park,IL,
119,7611,2018,Houston,TX,
193.88,7614,2018,Parsippany,NJ,
182,7614,2019,Parsippany,NJ,
152.9,7615,2018,Frazer,PA,
139,7615,2019,Frazer,PA,
163.5,7616,2018,Mahwah,NJ,
141,7616,2019,Mahwah,NJ,
95,7623,2018,Huntsville,AL,
134,7625,2018,Portland,OR,
139,7626,2018,Lakewood,CO,
188.5,7633,2018,Alexandria,VA,
112.25,7637,2018,Elk Grove Village,IL,
223.5,7640,2018,Emeryville,CA,
223.41,7640,2019,Emeryville,CA,
177,7645,2018,Wilmington,DE,
111.2,7652,2018,Columbus,OH,
117,7652,2019,Columbus,OH,
159,7653,2018,Charlotte,NC,
146,7654,2017,Kansas City,MO,
151.67,7654,2018,Kansas City,MO,
128,7655,2018,Eatontown,NJ,
173.46,7657,2018,Tempe,AZ,
127.8,7661,2018,Dallas,TX,
112,7661,2019,Dallas,TX,
217.2,7671,2018,New Orleans,LA,
517.73,7672,2018,Chicago,IL,
349,7672,2019,Chicago,IL,
132,7684,2018,Springfield,MA,
175.2,7686,2018,Philadelphia,PA,
202,7687,2018,Flushing,NY,
165,7687,2019,Flushing,NY,
199,8072,2017,Houston,TX,
185,8074,2019,Wilmington,DE,
165,8093,2017,Garden City,NY,
999,8116,2019,Laguna Beach,CA,
339,8304,2017,New York,NY,
146,8305,2017,Philadelphia,PA,
999,8655,2018,Chicago,IL,
422.33,8655,2019,Chicago,IL,
193,8657,2018,Boston,MA,
185,8657,2019,Boston,MA,
999,8658,2018,Dallas,TX,
999,8658,2019,Dallas,TX,
269,8674,2018,San Francisco,CA,
285,8674,2019,San Francisco,CA,
232,8675,2017,San Jose,CA,
197,8675,2019,San Jose,CA,
741.6,8728,2018,New York,NY,
489,8793,2018,Washington,DC,
101,8868,2017,Brown Deer,WI,
101.2,8868,2018,Milwaukee,WI,
154.5,8911,2018,Petaluma,CA,
185,8912,2018,South San Francisco,CA,
186.18,8952,2018,Greenville,SC,
159.67,8988,2018,Minnetonka,MN,
215.8,9022,2018,Pittsburgh,PA,
132.6,9348,2018,San Antonio,TX,
120,9348,2019,San Antonio,TX,
145,9594,2017,Valencia,CA,
120,9595,2019,Chicago,IL,
180,9596,2017,Cambridge,MA,
270,9596,2018,Cambridge,MA,
128,9596,2019,Cambridge,MA,
169,9597,2017,Old Greenwich,CT,
159,9597,2019,Old Greenwich,CT,
169,9598,2018,Princeton,NJ,
166,9599,2019,New Brunswick,NJ,
239,9600,2017,New York,NY,
239,9600,2018,New York,NY,
228,9600,2019,New York,NY,
136,9601,2019,Buffalo,NY,
249,9603,2017,Washington,DC,
260,9603,2019,Washington,DC,
219,9604,2019,Washington,DC,
332.5,9605,2017,Washington,DC,
295,9605,2019,Washington,DC,
185,9606,2019,Bethesda,MD,
141,9607,2019,Baltimore,MD,
134,9608,2019,Fairfax,VA,
132,9609,2019,Herndon,VA,
239,9610,2017,Reston,VA,
269,9610,2018,Reston,VA,
228,9610,2019,Reston,VA,
219,9611,2017,Arlington,VA,
199,9611,2019,Arlington,VA,
140,9617,2019,Atlanta,GA,
245,9622,2017,Miami,FL,
999,9622,2018,Miami,FL,
583,9622,2019,Miami,FL,
152,9628,2019,Louisville,KY,
135,9629,2017,Lexington,KY,
123,9630,2019,Columbus,OH,
124,9633,2019,Indianapolis,IN,
98,9635,2019,Milwaukee,WI,
160,9636,2017,Minneapolis,MN,
104,9639,2019,Schaumburg,IL,
99,9641,2019,Lisle,IL,
112,9641,2020,Lisle,IL,
135,9642,2017,Chicago,IL,
118,9642,2019,Chicago,IL,
149,9646,2019,New Orleans,LA,
999,9647,2018,Dallas,TX,
569.5,9647,2019,Dallas,TX,
179,9648,2017,Fort Worth,TX,
177,9648,2018,Fort Worth,TX,
120,9648,2019,Fort Worth,TX,
130,9649,2017,Houston,TX,
164,9649,2019,Houston,TX,
145,9651,2019,San Antonio,TX,
172,9652,2017,Austin,TX,
239,9653,2018,Denver,CO,
259,9653,2019,Denver,CO,
183,9654,2018,Denver,CO,
142.99,9654,2019,Denver,CO,
999,9655,2018,Phoenix,AZ,
585.5,9655,2019,Phoenix,AZ,
220,9656,2018,Scottsdale,AZ,
271,9656,2019,Scottsdale,AZ,
285,9658,2017,West Hollywood,CA,
300,9661,2017,San Diego,CA,
149,9662,2018,San Diego,CA,
149,9662,2019,San Diego,CA,
209,9666,2017,Newport Beach,CA,
167.5,9666,2019,Newport Beach,CA,
190,9666,2020,Newport Beach,CA,
169,9668,2017,Garden Grove,CA,
141,9668,2019,Garden Grove,CA,
269,9670,2018,Burlingame,CA,
349,9671,2018,San Francisco,CA,
359,9672,2017,San Francisco,CA,
339,9672,2018,San Francisco,CA,
279,9678,2018,Bellevue,WA,
153,9684,2019,Atlanta,GA,
149,9958,2017,Dallas,TX,
151.83,9958,2018,Dallas,TX,
119,9958,2019,Dallas,TX,
204.81,9959,2018,Denver,CO,
161,10011,2017,Austin,TX,
124,10082,2019,Corning,NY,
88,10125,2017,Green Bay,WI,
95,10214,2019,Madison,WI,
169,10294,2017,Minneapolis,MN,
101,10295,2017,Portland,OR,
119,10325,2017,Salt Lake City,UT,
119,10416,2019,King Of Prussia,PA,
214,10517,2018,Chandler,AZ,
137,12779,2017,Pittsburgh,PA,
105,12779,2019,Pittsburgh,PA,
999,13298,2018,Chicago,IL,
999,13298,2019,Chicago,IL,
99,13299,2019,Cleveland,OH,
189,13638,2017,Seattle,WA,
184,13638,2019,Seattle,WA,
159,14144,2017,Atlanta,GA,
129,14144,2019,Atlanta,GA,
125,14148,2017,Austin,TX,
131.5,14148,2018,Austin,TX,
124,14148,2019,Austin,TX,
110,14153,2018,Norcross,GA,
98,14153,2019,Norcross,GA,
169.5,14158,2017,Alpharetta,GA,
105,14163,2019,Linthicum Heights,MD,
106,14165,2017,Boise,ID,
109,14165,2019,Boise,ID,
97,14166,2019,Baton Rouge,LA,
110,14171,2017,Charlotte,NC,
112,14171,2019,Charlotte,NC,
139,14175,2017,Charlotte,NC,
112,14175,2019,Charlotte,NC,
105,14178,2017,Cincinnati,OH,
117,14179,2018,College Park,GA,
111,14180,2019,Dublin,OH,
102,14192,2019,Duluth,GA,
140,14194,2018,Lone Tree,CO,
123,14195,2017,Dallas,TX,
124,14195,2018,Dallas,TX,
124,14195,2019,Dallas,TX,
102,14199,2018,Duluth,GA,
136,14205,2017,Eden Prairie,MN,
107,14211,2018,Fort Worth,TX,
153,14221,2017,Alpharetta,GA,
99,14222,2019,Greensboro,NC,
97,14233,2019,Greenville,SC,
124,14235,2019,Indianapolis,IN,
130,14236,2017,Irving,TX,
149,14236,2018,Irving,TX,
106,14243,2017,Itasca,IL,
119,14250,2019,Lombard,IL,
132,14253,2017,Livonia,MI,
128,14253,2018,Livonia,MI,
121,14259,2019,Memphis,TN,
104,14263,2017,Bloomington,MN,
112.5,14263,2019,Bloomington,MN,
139,14274,2017,Orlando,FL,
121,14278,2019,Orlando,FL,
104,14279,2019,Overland Park,KS,
156,14295,2018,Princeton,NJ,
133,14295,2019,Princeton,NJ,
149,14302,2018,Rancho Cordova,CA,
85,14307,2019,Roanoke,VA,
86,14308,2019,Raleigh,NC,
111,14309,2017,Glen Allen,VA,
101,14309,2019,Glen Allen,VA,
103,14313,2019,Schaumburg,IL,
179,14314,2019,Scottsdale,AZ,
105,14318,2017,San Antonio,TX,
105,14318,2019,San Antonio,TX,
121,14320,2018,Sterling,VA,
119,14321,2017,Smyrna,GA,
112,14321,2019,Smyrna,GA,
109,14322,2017,San Antonio,TX,
149,14325,2019,Secaucus,NJ,
126,14326,2017,Tampa,FL,
132,14326,2019,Tampa,FL,
156,14334,2017,Tempe,AZ,
131,15962,2019,Nashville,TN,
129,15969,2017,Rogers,AR,
122,15969,2019,Rogers,AR,
121,15977,2019,Mount Laurel,NJ,
207,17121,2017,Palo Alto,CA,
254,18012,2018,San Francisco,CA,
215.5,18717,2017,Fremont,CA,
220,19517,2018,Charlotte,NC,
74,19577,2017,Ames,IA,
